perkataan,keterangan
makan,
minum,
Terima kasih,
Selamat pagi,
acara,"programme, rancangan atau susunan rancangan (Acara senamrobik hari ini telah dibatalkan.)"
agak (teka),"guess, sangka, tekaan semata-mata
(Saya agak mereka datang lewat kerana kesesakan lalu lintas)"
agak- agaknya,"estimate, barangkali, gerangan, rasa- rasanya
(Bilakah agak- agaknya tuan dapat pergi ke sana?)"
adil,"fair, menyebelahi pihak yang benar
(Dia seorang hakim yang adil)"
pengadil (sukan),"referee, orang yang mengadili sesuatu perkara pertandingan (Imran menjadi pengadil bagi pertandingan futsal pagi ini.)"
pengadilan,"judgement; perihal, perbuatan mengadili, perbicaraan, keputusan oleh pengadil (Pengadilan itu muktamad.)"
abad,"century, jangka masa seratus tahun. (Malaysia mencapai kemerdekaan pada abad ke-20)"
abadi,"immortal, berterusan untuk selamanya, kekal. ( Kasih sayang ibu bapa terhadap anak- anak adalah abadi.)"
abai,"neglectful; cuai, lalai. (Farouk tidak boleh abai kerja sekolahnya. )"
mengabaikan,"ignore; membiarkan, tidak endah. (Aripin tidak patut mengabaikan nasihat ibu bapanya. )"
assalamualaikum,memberi salam
waalaikumsalam,menjawab salam
maaf,sorry
maaf (excuse),"(Maaf, boleh saya lalu?)"
minta maaf,apologize; (Saya minta maaf atas semua yang berlaku.)
apa khabar?,how are you?
khabar baik,I’m fine
ada,"have, mempunyai, boleh diperolehi/ didapati (Saya ada seekor kucing)"
akan,"will, menyatakan jangkaan tentang sesuatu.  (Rumah itu akan dinaiki air. )"
belum,"not done yet, masih tidak. Dia masih belum makan lagi."
bukan,"not, isn’t
Ini bukan motosikal saya."
bukan,"not, isn’t
Ini bukan motosikal saya."
boleh,can. (semua orang boleh ambil makanan di kantin. )
boleh,"can. 
Semua orang boleh ambil makanan di kantin dengan kadar segera"
